amfi_code,alpha,beta,r_squared
100016,0.03747580763443281,-0.05826843143880889,0.002665032698133322
100025,0.042817920315060876,0.0011582183155281445,1.4612842041844981e-05
100033,0.2719535450128533,0.00510352583052832,1.2066520635068217e-05
101206,0.21399784776051212,0.021086316250128027,0.00034804820307142496
101207,0.10897091901704538,-0.06528924788351524,0.0010641052735572622
101208,0.060861457957871144,0.00026670968338238357,4.607623677105207e-05
102885,0.17048756803412696,-0.019486785689474533,0.00038285030730923845
102886,0.028969397866379445,-0.042125029021894335,0.0008964294600687586
102887,0.16211256794033255,0.01668268943777081,0.00018619166432850138
118632,0.21829397904608644,-0.008353832126962012,5.791756270127821e-05
118633,0.1564383594816967,-0.036639006718609375,0.0011382947171084295
118634,0.1750072167561127,0.10349663691337589,0.0027930065610663247
118635,0.1513635464823924,-0.0014335213897801165,2.0253408972327968e-06
118636,0.05074772999976104,0.0012566742731558473,1.651665231033279e-05
119092,0.0689952982167755,0.009730745001153633,8.08263769381077e-05
119093,0.08232801295222093,0.025883212440093156,0.0005692038090244875
119094,0.2607666908004223,-0.06626542862803757,0.001936878936960232
119095,0.048015953637759554,-0.06695117463929202,0.0011851593464486726
119120,0.05620895216638369,-0.0064138507282764734,0.0004342603321720048
119551,0.23201007160635082,-0.03175144113890971,0.0008869788879322805
119552,0.1986859936686296,-0.026159307513513405,0.0005850821704543428
119598,0.3033696538698332,-0.023196062044059697,0.00014142575502721716
119599,0.048824215945539845,0.062001804382671694,0.0010259205326765969
120503,0.17703302365844073,-0.0402689523698206,0.001397444608331861
120504,0.2119482701352573,0.016232169761417007,0.00021216129075887457
120505,0.2926358334175106,0.000549004250631717,1.3455341675669093e-07
120506,0.1625385327998104,0.04189646272811977,0.0012571178108220743
120507,0.06746210411099539,-0.0004440926329707217,0.0001343066144067977
120841,0.13042924450705445,0.0363563990221998,0.0012113711061211873
120842,0.0780443887615508,0.01805687420811815,0.00016915548838314346
120843,0.27330465038306057,-0.022829569792426556,0.0003430543427151453
120844,0.06455677495375998,-0.0004007442394784001,0.00010125435692271723
125497,0.17729754927531766,0.0488204042595774,0.0018401792783071592
125498,0.11989100971217971,0.009054412621739151,4.0437465536342426e-05
148567,0.2698375144191807,0.02368355807584862,0.00046254369066238454
148568,0.20873010086942337,-0.02638771994384301,0.00048592647527973177
148569,0.2827036785246582,0.01813388408385922,0.00017488886568129514
149322,0.13173190226099432,-0.004050271130006522,1.322760788085039e-05
149323,0.26598577542043045,-0.002523004664699254,3.3579781920088773e-06
149324,0.3005787817097677,0.011455159960520734,3.532990626795579e-05
