amfi_code,3yr_cagr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,cagr_rank,sharpe_rank,alpha_rank,expense_rank,mdd_rank,cagr_score,sharpe_score,alpha_score,expense_score,mdd_score,fund_score
148567,34.00091602163293,1.4482911703262593,0.2698375144191807,1.46,-11.265729075028275,2.0,1.0,7.0,23.0,8.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588
120505,31.777537151234704,1.1801011976606495,0.2926358334175106,1.36,-18.188513572116292,5.0,5.0,3.0,15.0,25.0,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718
120843,29.58277033726251,1.3067439695428407,0.27330465038306057,1.45,-12.97396816518679,7.0,2.0,5.0,22.0,13.0,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153
100033,32.442459421956116,1.0936987435346313,0.2719535450128533,1.38,-16.217208574644847,4.0,7.0,6.0,17.0,20.0,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,80.25641025641023
120504,32.48742855621496,1.0265242847993,0.2119482701352573,0.8,-12.588275606922517,3.0,10.0,13.0,12.0,12.0,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949
119094,35.11180209642853,0.9982309868636414,0.2607666908004223,1.38,-20.960883862039193,1.0,11.0,9.0,17.0,28.0,100.0,74.35897435897436,79.48717948717949,58.97435897435898,30.76923076923077,76.41025641025642
119551,30.456524420302888,1.2082665673727175,0.23201007160635082,1.54,-15.012385498645331,6.0,4.0,10.0,30.5,17.0,87.17948717948718,92.3076923076923,76.92307692307693,24.358974358974358,58.97435897435898,74.16666666666667
148569,29.178901578393777,1.2349300257743294,0.2827036785246582,1.6,-16.39674294693263,8.0,3.0,4.0,36.5,21.0,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051
101206,28.96769452874166,1.0272133278753701,0.21399784776051212,1.6,-11.291596329323072,9.0,9.0,12.0,36.5,9.0,79.48717948717949,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,67.37179487179486
119598,26.66992200118774,0.9453082575156091,0.3033696538698332,1.43,-28.706005721764548,12.0,14.0,1.0,21.0,36.0,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153
149323,26.869990828902203,1.1321218524747243,0.26598577542043045,1.61,-17.24810575345138,11.0,6.0,8.0,38.0,22.0,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359
149324,27.000426614519245,0.9497958246616028,0.3005787817097677,1.52,-31.171900300634213,10.0,13.0,2.0,26.5,37.0,76.92307692307693,69.23076923076923,97.43589743589743,34.61538461538461,7.6923076923076925,65.83333333333334
118632,22.652359830098632,1.0816591793457038,0.21829397904608644,1.51,-17.41407508665723,14.0,8.0,11.0,24.5,23.0,66.66666666666666,82.05128205128204,74.35897435897436,39.743589743589745,43.58974358974359,65.7051282051282
119552,16.267372294624916,0.9532794968660094,0.1986859936686296,0.66,-11.803493502764296,23.0,12.0,15.0,4.0,11.0,43.58974358974359,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,65.12820512820512
